height,geometry
5,"POLYGON ((245381.59229999967 2551650.6051000003, 245382.21219999995 2551638.8260999992, 245368.4587000003 2551639.9608999994, 245369.58320000023 2551651.205499999, 245381.59229999967 2551650.6051000003))"
4,"POLYGON ((247049.5580000002 2551638.6994000003, 247038.14940000046 2551639.299799999, 247039.35030000005 2551651.3089000005, 247050.75889999978 2551651.9093999993, 247049.5580000002 2551638.6994000003))"
13,"POLYGON ((245058.51669999957 2551645.2018999998, 245057.1743999999 2551637.1488000005, 245048.76800000016 2551638.950200001, 245049.96899999958 2551646.756100001, 245058.51669999957 2551645.2018999998))"
7,"POLYGON ((246522.73680000007 2551652.3735000007, 246515.53129999992 2551638.562999999, 246500.51999999955 2551644.5676000006, 246510.1272 2551657.177100001, 246522.73680000007 2551652.3735000007))"
17,"POLYGON ((247175.65340000018 2551645.9047999997, 247175.65340000018 2551638.6994000003, 247159.0264999997 2551639.2357, 247159.00329999998 2551648.6797, 247175.65340000018 2551645.9047999997))"
4,"POLYGON ((247010.15589999966 2551651.6712999996, 247008.72719999962 2551638.0988999996, 247001.5217000004 2551638.0988999996, 247001.5217000004 2551653.1103000008, 247010.15589999966 2551651.6712999996))"
16,"POLYGON ((247096.3934000004 2551651.9093999993, 247096.99390000012 2551636.898, 247083.78390000015 2551638.0988999996, 247086.78619999997 2551645.9047999997, 247087.38659999985 2551652.5098, 247096.3934000004 2551651.9093999993))"
7,"POLYGON ((244489.91810000036 2551636.7946000006, 244477.90899999999 2551637.3950999994, 244475.50719999988 2551650.0045999996, 244484.51400000043 2551650.6051000003, 244489.91810000036 2551636.7946000006))"
4,"POLYGON ((246205.6969999997 2551655.9761999995, 246210.50069999974 2551651.1725999992, 246203.42069999967 2551637.7205999997, 246188.28390000015 2551642.7662000004, 246198.4916000003 2551658.3780000005, 246205.6969999997 2551655.9761999995))"
6,"POLYGON ((247134.73959999997 2551649.2369999997, 247133.6216000002 2551637.4985000007, 247118.00980000012 2551636.898, 247118.6342000002 2551651.8846000005, 247134.73959999997 2551649.2369999997))"
8,"POLYGON ((247206.2764999997 2551657.913899999, 247206.45409999974 2551653.1181000005, 247222.0560999997 2551650.6547, 247235.69880000036 2551649.9727, 247235.69880000036 2551635.7268000003, 247219.11899999995 2551637.8891000003, 247196.39979999978 2551638.5031000003, 247195.46839999966 2551639.9003, 247197.26970000006 2551658.5143999998, 247206.2764999997 2551657.913899999), (247220.68740000017 2551647.7062, 247220.0870000003 2551647.7062, 247220.0870000003 2551646.5053000003, 247220.68740000017 2551647.7062))"
8,"POLYGON ((246315.31769999955 2551650.2201000005, 246309.3130999999 2551635.2086999994, 246296.70359999966 2551640.6128000002, 246303.3086000001 2551655.6240999997, 246315.31769999955 2551650.2201000005))"
4,"POLYGON ((247026.1403000001 2551648.3066000007, 247026.7407999998 2551636.898, 247012.93030000012 2551636.2975999992, 247015.33220000006 2551651.3089000005, 247026.1403000001 2551648.3066000007))"
3,"POLYGON ((245320.94639999978 2551644.0001, 245319.7455000002 2551635.593699999, 245302.9327999996 2551636.7946000006, 245305.1188000003 2551647.724199999, 245320.94639999978 2551644.0001))"
4,"POLYGON ((245504.14109999966 2551652.0472, 245505.46769999992 2551645.4125999995, 245505.46769999992 2551636.2038000003, 245495.65110000037 2551635.6992000006, 245492.07579999976 2551649.404100001, 245498.6808000002 2551653.6073000003, 245504.14109999966 2551652.0472))"
6,"POLYGON ((246684.97439999972 2551646.8595000003, 246678.3694000002 2551634.2499, 246667.56120000035 2551639.0536, 246673.56579999998 2551652.864, 246684.97439999972 2551646.8595000003))"
9,"POLYGON ((247268.1233000001 2551652.5098, 247269.15259999968 2551650.7084999997, 247287.33779999986 2551650.7084999997, 247284.93599999975 2551634.496200001, 247241.1029000003 2551638.6994000003, 247242.30379999988 2551654.9115999993, 247268.1233000001 2551652.5098), (247254.91330000013 2551651.3089000005, 247254.91330000013 2551645.3044000007, 247256.11419999972 2551645.3044000007, 247256.11419999972 2551651.9093999993, 247254.91330000013 2551651.3089000005))"
